Player_Name_CSV,Team_CSV,Role_CSV,Player_Name_DB
Aboukhlal,Torino,A,1549
Acerbi,Inter,D,1175
Adams,Torino,A,1532
Addai,Como,C,1555
Adopo,Cagliari,C,1438
Adzic,Juventus,C,1850
Aebischer,Pisa,C,1452
Ahanor,Atalanta,D,1213
Akanji,Inter,D,1858
Akinsanmiro,Pisa,C,1806
Alex_Valle,Como,D,1216
Almqvist,Parma,A,1576
Angelino,Roma,D,1152
Angori,Pisa,D,1232
Anguissa,Napoli,C,1343
Anjorin,Torino,C,1382
Asllani,Torino,C,1456
Assane_Diao,Como,C,1525
Athekame,Milan,D,1845
Atta,Udinese,C,1437
Audero,Cremonese,P,1104
Bailey,Roma,C,1834
Baldanzi,Roma,C,1411
Banda,Lecce,A,1569
Barbieri,Cremonese,D,1270
Barella,Inter,C,1348
Bartesaghi,Milan,D,1281
Baschirotto,Cremonese,D,1191
Basic,Lazio,C,1491
Bastoni,Inter,D,1150
Baturina,Como,C,1388
Bayo,Udinese,A,1578
Belahyane,Lazio,C,1459
Belghali,Verona,D,1847
Bellanova,Atalanta,D,1155
Belotti,Cagliari,A,1860
Benedyczak,Parma,A,1593
Berardi,Sassuolo,A,1514
Berisha_M,Lecce,C,1472
Bernabe,Parma,C,1374
Bernardeschi,Bologna,C,1386
Bernede,Verona,C,1464
Bertola,Udinese,D,1219
Beukema,Napoli,D,1168
Bianchetti,Cremonese,D,1268
Biraghi,Torino,D,1197
Bisseck,Inter,D,1176
Boloca,Sassuolo,C,1433
Bonazzoli,Cremonese,A,1589
Bondo,Cremonese,C,1474
Bonfanti,Pisa,D,1298
Bonny,Inter,A,1568
Borrelli,Cagliari,A,1565
Bradaric_D,Verona,D,1802
Bremer,Juventus,D,1157
Brescianini,Atalanta,C,1398
Britschgi,Parma,D,1873
Buffon_L,Pisa,A,1594
Buongiorno,Napoli,D,1158
Butez,Como,P,1096
Cabal,Juventus,D,1228
Calabresi,Pisa,D,1288
Calhanoglu,Inter,C,1335
Camarda,Lecce,A,1540
Cambiaghi,Bologna,A,1542
Cambiaso,Juventus,D,1151
Cancellieri,Lazio,A,1580
Canestrelli,Pisa,D,1287
Caprile,Cagliari,P,1099
Caqueret,Como,C,1357
Caracciolo_A,Pisa,D,1256
Carboni_V,Genoa,C,1370
Carlos_Augusto,Inter,D,1167
Carnesecchi,Atalanta,P,1092
Casadei,Torino,C,1366
Casale,Bologna,D,1240
Castellanos,Lazio,A,1512
Castro_S,Bologna,A,1520
Cataldi,Lazio,C,1445
Caviglia,Fiorentina,C,1866
Cavlina,Como,P,1868
Ceccherini,Cremonese,D,1247
Celik,Roma,D,1209
Ciocci,Cagliari,P,1116
Circati,Parma,D,1231
Coco_S,Torino,D,1195
Collocolo,Cremonese,C,1402
Colombo,Genoa,A,1537
Comuzzo,Fiorentina,D,1202
Conceicao,Juventus,C,1339
Contini,Napoli,P,1132
Coppola_Fr,Pisa,D,1323
Corvi,Parma,P,1133
Coulibaly_L,Lecce,C,1416
Cristante,Roma,C,1394
Cuadrado,Pisa,D,1815
Cutrone,Parma,A,1544
Da_Cunha,Como,C,1358
Dallinga,Bologna,A,1543
Darmian,Inter,D,1249
David,Juventus,A,1505
Davis,Udinese,A,1541
De_Bruyne,Napoli,C,1336
De_Gea,Fiorentina,P,1093
De_Ketelaere,Atalanta,C,1511
De_Luca,Cremonese,A,1551
De_Roon,Atalanta,C,1355
De_Silvestri,Bologna,D,1241
De_Vrij,Inter,D,1177
De_Winter,Milan,D,1185
Deiola,Cagliari,C,1439
Dele_Bashiru,Lazio,C,1372
Delprato,Parma,D,1194
Denoon,Pisa,D,1803
Di_Gregorio,Juventus,P,1088
Di_Lorenzo,Napoli,D,1153
Di_Pardo,Cagliari,D,1299
Dia,Lazio,A,1515
Dimarco,Inter,D,1147
Djimsiti,Atalanta,D,1180
Djuric,Parma,A,1547
Dodo_D,Fiorentina,D,1161
Doig,Sassuolo,D,1218
Dominguez_B,Bologna,C,1546
Dossena_A,Como,D,1243
Douvikas,Como,A,1550
Dovbyk,Roma,A,1513
Dumfries,Inter,D,1146
Dybala,Roma,A,1506
Dzeko,Fiorentina,A,1528
Ebosse,Verona,D,1263
Ederson_J,Atalanta,C,1342
Ehizibue,Udinese,D,1237
Ekhator,Genoa,A,1591
Ekkelenkamp,Udinese,C,1383
Ekuban,Genoa,A,1583
El_Aynaoui,Roma,C,1395
El_Shaarawy,Roma,A,1410
Ellertsson,Genoa,C,1442
Elmas,Napoli,C,1870
Esposito_F,Inter,A,1559
Esposito_S,Cagliari,A,1558
Esteves_T,Pisa,D,1325
Estevez,Parma,C,1483
Estupinan,Milan,D,1162
Fabbian,Bologna,C,1377
Fadera,Sassuolo,C,1435
Fagioli,Fiorentina,C,1403
Falcone,Lecce,P,1102
Fazzini,Fiorentina,C,1369
Felici,Cagliari,C,1422
Ferguson,Bologna,C,1368
Ferguson_E,Roma,A,1523
Floriani_M,Cremonese,D,1223
Fofana_Y,Milan,C,1373
Folino,Cremonese,D,1246
Folorunsho,Cagliari,C,1387
Fortini,Fiorentina,D,1271
Frattesi,Inter,C,1349
Frendrup,Genoa,C,1389
Frese,Verona,D,1297
Freuler,Bologna,C,1367
Frigan,Parma,A,1852
Fruchtl,Lecce,P,1128
Furlanetto,Lazio,P,1127
Gabbia,Milan,D,1217
Gaetano,Cagliari,C,1400
Gagliardini,Verona,C,1871
Gallo,Lecce,D,1229
Gaspar_K,Lecce,D,1192
Gatti,Juventus,D,1187
Ghilardi,Roma,D,1261
Gigot,Lazio,D,1250
Gila,Lazio,D,1179
Gilmour,Napoli,C,1417
Gimenez_S,Milan,A,1507
Gineitis,Torino,C,1449
Giovane_S,Verona,A,1600
Goglichidze,Udinese,D,1816
Goldaniga,Como,D,1244
Gollini,Roma,P,1137
Gosens,Fiorentina,D,1148
Grassi,Cremonese,C,1454
Gronbaek,Genoa,C,1360
Gudmundsson,Fiorentina,A,1334
Guendouzi,Lazio,C,1371
Gutierrez_M,Napoli,D,1844
Harroui,Verona,C,1421
Heggem,Bologna,D,1846
Helgason,Lecce,C,1408
Hermoso,Roma,D,1289
Hernani,Parma,C,1418
Hien,Atalanta,D,1160
Hojholt,Pisa,C,1495
Hojlund,Napoli,A,1856
Holm,Bologna,D,1184
Hysaj,Lazio,D,1279
Iannoni,Sassuolo,C,1497
Idrissi,Cagliari,D,1266
Idzes,Sassuolo,D,1829
