Player_Name_DB,Role_DB,id_DB
Vogliacco,D,1273
Savona,D,1276
Balogh,D,1286
Jack,D,1301
Rus,D,1307
Missori,D,1309
Ilic_M,D,1313
Veroli,D,1315
Dembelè_A,D,1328
Keita_M,C,1429
Konè_I,C,1434
Gonzalez_N,A,1539
Chukwueze,C,1460
Ghion,C,1461
Castagnetti,C,1469
Engelhardt,C,1479
Pickel,C,1480
Santiago,C,1486
Alli,C,1489
Arena,C,1496
Pafundi,C,1498
Bianco_A,C,1490
Tourè_E,A,1554
Beltran,A,1557
Mulattieri,A,1573
Taremi,A,1574
Okafor,A,1575
Lind,A,1577
Karlsson,A,1579
Brenner,A,1581
Alvarez_A,A,1585
Azon,A,1587
Gabrielloni,A,1588
Candè,D,1830
Godfrey,D,1848
Pizarro_D,A,1599
Bonfanti_N,A,1595
Livramento,A,1582
Russo_Al,P,1138
