Voti Fantacalcio 38ª giornata di campionato,,,,,,,,,,,,
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,
Atalanta,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4431,P,Carnesecchi,7,0,3,0,0,0,0,0,0,0
697,D,Cuadrado,6,0,0,0,0,0,0,0,0,0
787,D,Djimsiti,5.5,0,0,0,0,0,0,1,0,0
4887,D,Bellanova,6.5,0,0,0,0,0,0,0,0,1
5354,D,Ruggeri,6,0,0,0,0,0,0,0,0,0
5578,D,Kossounou,5.5,0,0,0,0,0,0,0,0,0
6066,D,Posch,5,0,0,0,0,0,0,0,0,0
6832,D,Palestra,6,0,0,0,0,0,0,0,0,0
2077,C,Pasalic,5.5,0,0,0,0,0,0,0,0,0
4896,C,Maldini,7.5,2,0,0,0,0,0,0,0,0
4947,C,Brescianini,5.5,0,0,0,0,0,0,0,0,0
5792,C,Ederson D.s.,5.5,0,0,0,0,0,0,0,0,0
6024,C,Sulemana I.,6,0,0,0,0,0,0,0,0,0
4730,A,Lookman,5.5,0,0,0,0,0,0,0,0,0
5995,A,De Ketelaere,6,0,0,0,0,0,0,0,0,0
6228,A,Retegui,6.5,0,0,0,0,0,0,0,0,1
684,ALL,Gasperini,5.5,0,0,0,0,0,0,0,0,0
Bologna,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
2722,P,Ravaglia F.,5.5,0,3,0,0,0,0,0,0,0
357,D,Calabria,6,0,0,0,0,0,0,1,0,0
487,D,De Silvestri,6,0,0,0,0,0,0,0,0,0
2653,D,Lykogiannis,5,0,0,0,0,0,0,1,0,0
5498,D,Casale,5,0,0,0,0,0,0,0,0,1
5678,D,Holm,4.5,0,0,0,0,0,0,0,0,0
6042,D,Lucumi',5,0,0,0,0,0,0,1,0,0
788,C,Freuler,5,0,0,0,0,0,0,0,0,0
2167,C,Orsolini,6.5,1,0,0,0,0,0,1,0,0
5298,C,Pobega,6,0,0,0,0,0,0,0,0,0
5564,C,Ndoye,5.5,0,0,0,0,0,0,0,0,0
5784,C,Aebischer,5,0,0,0,0,0,0,1,0,0
5858,C,Ferguson,5,0,0,0,0,0,0,0,0,0
6206,C,Fabbian,6*,0,0,0,0,0,0,0,0,0
4436,A,Cambiaghi,6,0,0,0,0,0,0,0,0,0
6572,A,Castro S.,5,0,0,0,0,0,0,0,0,0
4993,ALL,Italiano,5,0,0,0,0,0,0,0,0,0
Cagliari,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
4929,P,Ciocci,6*,0,0,0,0,0,0,0,0,0
6650,P,Sherri,6,0,2,0,0,0,0,0,0,0
393,D,Luperto,6,0,0,0,0,0,0,0,0,0
2181,D,Palomino,6,0,0,0,0,0,0,0,0,0
4210,D,Mina,5.5,0,0,0,0,0,0,0,0,0
4421,D,Augello,5,0,0,0,0,0,0,0,0,0
4433,D,Zortea,6,0,0,0,0,0,0,0,0,0
4461,D,Zappa,5,0,0,0,0,0,0,0,0,0
5701,D,Obert,6,0,0,0,0,0,0,0,0,0
440,C,Viola,5.5,0,0,0,0,0,0,0,0,0
1871,C,Deiola,6,0,0,0,0,0,0,0,0,0
4870,C,Adopo,5,0,0,0,0,0,0,0,0,0
4965,C,Marin,6,0,0,0,0,0,0,0,0,0
6232,C,Makoumbou,5,0,0,0,0,0,0,1,0,0
4359,A,Piccoli,6,0,0,0,0,0,0,0,0,0
6598,A,Mutandwa,6,0,0,0,0,0,0,0,0,0
1911,ALL,Nicola,6,0,0,0,0,0,0,0,0,0
Como,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass
387,P,Reina,4.5,0,1,0,0,0,0,0,1,0
6966,P,Butez,6,0,1,0,0,0,0,0,0,0
4994,D,Vojvoda,5.5,0,0,0,0,0,0,0,0,0
6654,D,Iovine,6*,0,0,0,0,0,0,0,0,0
6867,D,Valle,5.5,0,0,0,0,0,0,0,0,0
6896,D,Van Der Brempt,5.5,0,0,0,0,0,0,0,0,0
